ds;y;Keys
02-2018;96.0;97209-80002531-DCP Kalkunbryst Carry 2xca. 1.5 kg.???
36-2020;263.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;111.0;97209-80002820-DCP PMM Kalkunbryst paprika 6x500g..???
37-2020;106.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;483.0;97209-80004251-DCP Hamburgerryg 6x2/250g duopak..???
38-2020;89.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;333.0;97209-80004252-DCP Hamburgerryg 3% 6x2/250g duopak..???
39-2020;117.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;564.0;97209-80004254-DCP Kalkunbryst 6x2/250g duopak..???
40-2020;61.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;132.0;97209-80004255-DCP Kamsteg 6x2/250g duopak..???
41-2020;140.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;261.0;97209-80004256-DCP Kyllingebryst 6x2/250g duopak..???
42-2020;123.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;537.0;97209-80004257-DCP Rullep?lse 6x2/250g duopak..??
43-2020;168.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;141.0;97209-80004259-DCP R?get filet 6x2/250g duopak..??
44-2020;50.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;162.0;97209-80004260-DCP Saltk?d 6x2/250g duopak..??
45-2020;156.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;612.0;97209-80004262-DCP Skinke 6x500g..???
46-2020;78.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;156.0;97209-80004263-DCP Skinke 6x2/250g duopak..???
47-2020;89.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;78.0;97209-80004264-DCP Skinke Firkantet 6x2/250g duopak..???
48-2020;156.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;762.0;97209-80004275-DCP Roastbeef 6x2/250g duopak..???
49-2020;123.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;90.0;97209-80004517-DCP Roastbeef. 4 x 1200-1800g.???
50-2020;56.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;60.0;97209-80005258-DCP ?ler?get skinke 6x2/250g duopak..?
51-2020;89.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;0.0;97209-80007710-DCP Kalkunbryst kogt. r?get 2xca. 1.5 kg??
52-2020;134.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;149.6;97213-80001642-DCP Skinke rund.kgt.rg. 1/2 4x2000-2400g???
02-2018;0.0;97213-80002820-DCP PMM Kalkunbryst paprika 6x500g..???
01-2021;89.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;6.0;97213-80004251-DCP Hamburgerryg 6x2/250g duopak..???
02-2021;78.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;0.0;97213-80004254-DCP Kalkunbryst 6x2/250g duopak..???
03-2021;44.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;6.0;97213-80004255-DCP Kamsteg 6x2/250g duopak..???
04-2021;28.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;9.0;97213-80004256-DCP Kyllingebryst 6x2/250g duopak..???
05-2021;84.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;0.0;97213-80004257-DCP Rullep?lse 6x2/250g duopak..??
06-2021;72.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;0.0;97213-80004259-DCP R?get filet 6x2/250g duopak..??
07-2021;72.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;3.0;97213-80004260-DCP Saltk?d 6x2/250g duopak..??
08-2021;72.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;18.0;97213-80004262-DCP Skinke 6x500g..???
09-2021;50.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;0.0;97213-80004264-DCP Skinke Firkantet 6x2/250g duopak..???
10-2021;56.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;0.0;97213-80004275-DCP Roastbeef 6x2/250g duopak..???
11-2021;78.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;0.0;97213-80005258-DCP ?ler?get skinke 6x2/250g duopak..?
12-2021;44.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;207.2;97215-70151305-DCP Rullep?lse 4 x 1200-1600g..??
13-2021;95.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;36.0;97215-70700688-DCP Kyllingebryst 4xca.0.9 kg.???
14-2021;50.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;0.0;97215-80001642-DCP Skinke rund.kgt.rg. 1/2 4x2000-2400g???
15-2021;33.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;48.0;97215-80002531-DCP Kalkunbryst Carry 2xca. 1.5 kg.???
16-2021;123.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
